Hz,dBm
7.861000000E+06,-9.68555E+01
7.861000000E+06,-8.99646E+01
7.900800000E+06,-9.71759E+01
7.900800000E+06,-8.99493E+01
7.940600000E+06,-9.86255E+01
7.940600000E+06,-9.10724E+01
7.980400000E+06,-1.03493E+02
7.980400000E+06,-8.86615E+01
8.020200000E+06,-9.79053E+01
8.020200000E+06,-9.13501E+01
8.060000000E+06,-9.83417E+01
8.060000000E+06,-9.03491E+01
8.099800000E+06,-9.92572E+01
8.099800000E+06,-9.17590E+01
8.139600000E+06,-9.83508E+01
8.139600000E+06,-9.04071E+01
8.179400000E+06,-9.83020E+01
8.179400000E+06,-8.96320E+01
8.219200000E+06,-9.97333E+01
8.219200000E+06,-8.95221E+01
8.259000000E+06,-9.73071E+01
8.259000000E+06,-8.92657E+01
8.298800000E+06,-9.81036E+01
8.298800000E+06,-8.99097E+01
8.338600000E+06,-9.96417E+01
8.338600000E+06,-9.00104E+01
8.378400000E+06,-9.89581E+01
8.378400000E+06,-9.01508E+01
8.418200000E+06,-9.81342E+01
8.418200000E+06,-8.83563E+01
8.458000000E+06,-1.00310E+02
8.458000000E+06,-9.16858E+01
8.497800000E+06,-9.55035E+01
8.497800000E+06,-8.96381E+01
8.537600000E+06,-1.00853E+02
8.537600000E+06,-8.73798E+01
8.577400000E+06,-9.79480E+01
8.577400000E+06,-8.81152E+01
8.617200000E+06,-1.00838E+02
8.617200000E+06,-9.10175E+01
8.657000000E+06,-9.68921E+01
8.657000000E+06,-8.79382E+01
8.696800000E+06,-9.96814E+01
8.696800000E+06,-9.29736E+01
8.736600000E+06,-1.02034E+02
8.736600000E+06,-8.88782E+01
8.776400000E+06,-9.69836E+01
8.776400000E+06,-8.97113E+01
8.816200000E+06,-9.90619E+01
8.816200000E+06,-8.75415E+01
8.856000000E+06,-9.91870E+01
8.856000000E+06,-8.91925E+01
8.895800000E+06,-9.83051E+01
8.895800000E+06,-8.94672E+01
8.935600000E+06,-9.83691E+01
8.935600000E+06,-8.91864E+01
8.975400000E+06,-9.80853E+01
8.975400000E+06,-9.03400E+01
9.015200000E+06,-9.57751E+01
9.015200000E+06,-9.13898E+01
9.055000000E+06,-1.01299E+02
9.055000000E+06,-9.05261E+01
9.094800000E+06,-9.90161E+01
9.094800000E+06,-8.74225E+01
9.134600000E+06,-1.00191E+02
9.134600000E+06,-9.00226E+01
9.174400000E+06,-9.77771E+01
9.174400000E+06,-8.97662E+01
9.214200000E+06,-9.68005E+01
9.214200000E+06,-8.99371E+01
9.254000000E+06,-9.62817E+01
9.254000000E+06,-8.98730E+01
9.293800000E+06,-9.79968E+01
9.293800000E+06,-8.98669E+01
9.333600000E+06,-9.86896E+01
9.333600000E+06,-9.09106E+01
9.373400000E+06,-9.74811E+01
9.373400000E+06,-8.88477E+01
9.413200000E+06,-9.86377E+01
9.413200000E+06,-8.95160E+01
9.453000000E+06,-9.70569E+01
9.453000000E+06,-8.91528E+01
9.492800000E+06,-9.82776E+01
9.492800000E+06,-9.27356E+01
9.532600000E+06,-9.61749E+01
9.532600000E+06,-8.76575E+01
9.572400000E+06,-9.58148E+01
9.572400000E+06,-8.78864E+01
9.612200000E+06,-9.47375E+01
9.612200000E+06,-8.87378E+01
9.652000000E+06,-9.64099E+01
9.652000000E+06,-8.94611E+01
9.691800000E+06,-9.66113E+01
9.691800000E+06,-8.81274E+01
9.731600000E+06,-9.75452E+01
9.731600000E+06,-8.83319E+01
9.771400000E+06,-9.74048E+01
