frequency,dBHz
4350000.0,-149.41203644397334
4360000.0,-149.78538245235856
4370000.0,-150.0673517643403
4380000.0,-149.7359313573073
4390000.0,-150.94270818764895
4400000.0,-151.0869797999538
4410000.0,-151.3974857614468
4420000.0,-151.73037319282025
4430000.0,-150.6641498017381
4440000.0,-149.87023587359386
4450000.0,-149.82213710626482
4460000.0,-148.88192044364845
4470000.0,-148.5943370060596
4480000.0,-149.5309095677244
4490000.0,-149.98938042435068
4500000.0,-150.33195150253502
4510000.0,-151.17950919792395
4520000.0,-150.84663791093558
4530000.0,-148.94701823136774
4540000.0,-149.37272864988356
4550000.0,-149.49742377332737
4560000.0,-149.27028242138573
4570000.0,-147.7199092186158
4580000.0,-148.33954900839655
4590000.0,-149.27473338703808
4600000.0,-148.64313005677033
4610000.0,-149.17651968290053
4620000.0,-150.01762172225872
4630000.0,-149.41783742145228
4640000.0,-149.40615790385203
4650000.0,-150.35964485943123
4660000.0,-152.26989547328137
4670000.0,-152.30533209003931
4680000.0,-150.58936614434737
4690000.0,-149.26379783054546
4700000.0,-146.95290322490413
4710000.0,-146.9168975169954
4720000.0,-148.3886980855189
4730000.0,-149.55260928513124
4740000.0,-149.81816303250653
4750000.0,-148.4774471222134
4760000.0,-148.74924287012936
4770000.0,-148.8591069600943
4780000.0,-149.8606600046418
4790000.0,-149.23462108412244
4800000.0,-148.53625372862564
4810000.0,-147.83903145050058
4820000.0,-148.21741715512087
4830000.0,-148.3619640139708
4840000.0,-148.94395282207637
4850000.0,-148.62870624337947
4860000.0,-148.9819039869955
4870000.0,-149.0058537444917
4880000.0,-149.394515968134
4890000.0,-148.61431616895192
4900000.0,-150.14927216802633
4910000.0,-149.90970083858156
4920000.0,-149.99577182836703
4930000.0,-149.59134667408074
4940000.0,-149.08505448093047
4950000.0,-148.0969352966829
4960000.0,-148.43924932035247
4970000.0,-148.625750676976
4980000.0,-149.20093888335626
4990000.0,-149.1490743464613
5000000.0,-146.79463721790088
5010000.0,-146.61496108270865
5020000.0,-148.67818329641858
5030000.0,-147.46322870026137
5040000.0,-148.27924144599712
5050000.0,-150.40186133754065
5060000.0,-148.29457660381362
5070000.0,-145.86957398812476
5080000.0,-147.2348269039877
5090000.0,-149.1887345121521
5100000.0,-148.09235879941048
5110000.0,-147.54365197601095
5120000.0,-148.6840897004215
5130000.0,-149.4193817360286
5140000.0,-149.67424909624182
5150000.0,-149.61044847244167
5160000.0,-150.5020051993891
5170000.0,-149.13995542295302
5180000.0,-146.64552018366015
5190000.0,-147.11878438411657
5200000.0,-147.79618835707953
5210000.0,-148.087931725381
5220000.0,-149.12631174235167
5230000.0,-149.4277825503919
5240000.0,-148.2317607246924
5250000.0,-148.1048203478631
5260000.0,-148.71180144099958
5270000.0,-149.45343382737082
5280000.0,-147.3217001311421
5290000.0,-147.53396785970662
5300000.0,-149.5801881530846
5310000.0,-151.52008370379556
5320000.0,-149.17508106634423
5330000.0,-149.26904455797822
5340000.0,-150.75731729454014
5350000.0,-149.1689135773606
5360000.0,-149.37431094386392
5370000.0,-149.5010360640474
5380000.0,-149.25767338606485
5390000.0,-147.2385795539165
5400000.0,-147.8057489455229
5410000.0,-150.01992072277952
5420000.0,-148.9534240605951
5430000.0,-148.44932900101892
5440000.0,-148.99880661762165
5450000.0,-150.15866953731026
5460000.0,-149.80563804631493
5470000.0,-147.72885975534808
5480000.0,-147.65563109376174
5490000.0,-147.55165469280865
5500000.0,-147.89267101914697
5510000.0,-147.23226326034808
5520000.0,-147.30559901716148
5530000.0,-147.62845777826124
5540000.0,-147.1048299670084
5550000.0,-148.00456813325377
5560000.0,-149.77080396433485
5570000.0,-149.81200452234322
5580000.0,-148.76659800235245
5590000.0,-149.70561147453745
5600000.0,-150.6274184746282
5610000.0,-152.90438902801543
5620000.0,-149.46596285682435
5630000.0,-148.06494628841574
5640000.0,-148.97612105961417
5650000.0,-148.78012441714094
5660000.0,-147.14308345108063
5670000.0,-146.95999221635338
5680000.0,-146.36007724062944
5690000.0,-148.269327817042
5700000.0,-147.80210517570063
5710000.0,-147.47935680044364
5720000.0,-146.68594757980935
5730000.0,-147.32824778608742
5740000.0,-149.52138898459933
5750000.0,-149.43511165457798
5760000.0,-148.52643704494784
5770000.0,-147.02524250190234
5780000.0,-146.34681556504182
5790000.0,-148.56148387165607
5800000.0,-148.77218367220604
5810000.0,-146.03314836001272
5820000.0,-146.05162940475947
5830000.0,-147.004714305721
5840000.0,-148.04166426557632
5850000.0,-148.24390089361174
5860000.0,-148.2373710106471
5870000.0,-149.61019893953474
5880000.0,-148.7601632319441
5890000.0,-148.1828221797
5900000.0,-147.948682754208
5910000.0,-148.81949190909674
5920000.0,-150.67322161803807
5930000.0,-149.67406687981497
5940000.0,-148.94578184223928
5950000.0,-148.4631364396775
5960000.0,-148.79437198440186
5970000.0,-151.29880199102934
5980000.0,-149.61267151802898
5990000.0,-149.03031883162348
