Hz,dBm
8.975400000E+06,-9.74475E+01
8.975400000E+06,-9.13196E+01
9.015200000E+06,-9.66479E+01
9.015200000E+06,-8.96167E+01
9.055000000E+06,-9.85950E+01
9.055000000E+06,-8.98517E+01
9.094800000E+06,-9.69440E+01
9.094800000E+06,-8.90613E+01
9.134600000E+06,-1.00472E+02
9.134600000E+06,-8.96411E+01
9.174400000E+06,-9.61017E+01
9.174400000E+06,-8.89453E+01
9.214200000E+06,-9.44720E+01
9.214200000E+06,-8.77582E+01
9.254000000E+06,-9.39410E+01
9.254000000E+06,-8.60217E+01
9.293800000E+06,-9.70111E+01
9.293800000E+06,-8.87988E+01
9.333600000E+06,-9.99622E+01
9.333600000E+06,-8.96136E+01
9.373400000E+06,-9.77069E+01
9.373400000E+06,-8.94977E+01
9.413200000E+06,-9.73804E+01
9.413200000E+06,-8.93329E+01
9.453000000E+06,-9.62634E+01
9.453000000E+06,-8.91467E+01
9.492800000E+06,-9.75482E+01
9.492800000E+06,-8.74194E+01
9.532600000E+06,-9.63550E+01
9.532600000E+06,-8.71387E+01
9.572400000E+06,-9.75513E+01
9.572400000E+06,-8.95740E+01
9.612200000E+06,-9.85034E+01
9.612200000E+06,-8.88934E+01
9.652000000E+06,-9.92023E+01
9.652000000E+06,-8.81061E+01
9.691800000E+06,-9.63458E+01
9.691800000E+06,-8.88416E+01
9.731600000E+06,-9.60193E+01
9.731600000E+06,-8.89911E+01
9.771400000E+06,-9.84668E+01
9.771400000E+06,-8.98792E+01
9.811200000E+06,-9.80670E+01
9.811200000E+06,-8.94031E+01
9.851000000E+06,-9.81769E+01
9.851000000E+06,-9.02576E+01
9.890800000E+06,-9.54852E+01
9.890800000E+06,-9.01904E+01
9.930600000E+06,-9.53326E+01
9.930600000E+06,-8.82037E+01
9.970400000E+06,-9.65015E+01
9.970400000E+06,-9.03156E+01
1.001020000E+07,-9.72125E+01
1.001020000E+07,-8.98761E+01
1.005000000E+07,-9.63733E+01
1.005000000E+07,-8.88446E+01
1.008980000E+07,-9.62512E+01
1.008980000E+07,-8.71326E+01
1.012960000E+07,-9.76550E+01
1.012960000E+07,-9.00745E+01
1.016940000E+07,-1.01409E+02
1.016940000E+07,-8.86951E+01
1.020920000E+07,-9.83752E+01
1.020920000E+07,-8.87256E+01
1.024900000E+07,-1.02477E+02
1.024900000E+07,-8.67450E+01
1.028880000E+07,-9.72034E+01
1.028880000E+07,-8.74744E+01
1.032860000E+07,-9.78534E+01
1.032860000E+07,-9.06238E+01
1.036840000E+07,-1.00188E+02
1.036840000E+07,-9.18658E+01
1.040820000E+07,-9.87445E+01
1.040820000E+07,-9.02148E+01
1.044800000E+07,-9.87201E+01
1.044800000E+07,-8.75507E+01
1.048780000E+07,-9.67639E+01
1.048780000E+07,-9.04102E+01
1.052760000E+07,-9.83997E+01
